Site,Date Range of Specimen Collection,Round,Catchment FIPS Code Description,Catchment Area Description,Catchment population,n [0-17 Years Prevalence],Rate (%) [0-17 Years Prevalence],Lower CI [0-17 Years Prevalence],Upper CI [0-17 Years Prevalence],CI Flag [0-17 Years Prevalence],n [18-49 Years Prevalence],Rate (%) [18-49 Years Prevalence],Lower CI [18-49 Years Prevalence],Upper CI [18-49 Years Prevalence],CI Flag [18-49 Years Prevalence],n [50-64 Years Prevalence],Rate (%) [50-64 Years Prevalence],Lower CI [50-64 Years Prevalence],Upper CI [50-64 Years Prevalence],CI Flag [50-64 Years Prevalence],n [65+ Years Prevalence],Rate (%) [65+ Years Prevalence],Lower CI [65+ Years Prevalence],Upper CI [65+ Years Prevalence],CI Flag [65+ Years Prevalence],n [Male Prevalence],Rate (%) [Male Prevalence],Lower CI [Male Prevalence],Upper CI [Male Prevalence],CI Flag [Male Prevalence],n [Female Prevalence],Rate (%) [Female Prevalence],Lower CI [Female Prevalence],Upper CI [Female Prevalence],CI Flag [Female Prevalence],n [Cumulative Prevalence],Rate (%) [Cumulative Prevalence],Lower CI [Cumulative Prevalence],Upper CI [Cumulative Prevalence],CI Flag [Cumulative Prevalence],Estimated cumulative infections count,Estimated cumulative infections lower CI 7,Estimated cumulative infections upper CI 7,All age-sex strata had at least one positive,Site Large CI Flag
NJ,"Oct 29 - Nov 11, 2020",7,Statewide,Statewide,8881845,234,14.1,9.33,19.45,0,332,15.5,11.75,19.39,0,335,6.9,4.24,9.89,0,335,5.7,3.44,8.67,0,511,10.6,7.52,13.74,0,725,13.1,10.45,16.11,0,1236,11.9,10.04,13.87,0,1056940,891737,1231912,true,false
NM,"Oct 30 - Nov 15, 2020",7,Statewide,Statewide,2092434,226,9.2,5.12,13.99,0,384,9.3,5.81,12.98,0,367,5.2,2.7,7.98,0,360,3.1,1.17,5.89,0,543,6.5,4.23,9.16,0,794,8.4,5.85,11.28,0,1337,7.5,5.68,9.39,0,156933,118850,196480,true,false
NV,"Oct 25 -  Nov 9, 2020",7,Statewide,Statewide,2922849,151,12.1,6.76,18.61,0,396,8.4,5.72,11.58,0,425,7.7,4.97,11.05,0,374,4,1.93,6.11,0,505,9.2,6.21,12.5,0,840,7.8,5.64,9.95,0,1346,8.5,6.56,10.51,0,248442,191739,307191,true,false
NY,"Oct 30 - Nov 15, 2020",7,Statewide,Statewide,19618453,311,18.3,13.74,23.45,0,326,13.1,8.74,17.29,0,331,11.2,7.12,15.34,0,387,8.1,5.22,11.15,0,614,12.3,9.08,15.86,0,741,13.7,10.39,16.82,0,1355,13,10.7,15.36,0,2550399,2099174,3013394,true,false
OH,"Oct 25 - Nov 10, 2020",7,Statewide,Statewide,11641879,168,6.3,2.84,10.04,0,489,9.4,6.61,12.21,0,506,6.5,4.16,8.85,0,498,4.1,2.24,6.28,0,715,9.2,6.62,11.8,0,946,5.4,3.81,7.21,0,1661,7.3,5.84,8.79,0,849857,679886,1023321,true,false
OK,"Oct 31 - Nov 13, 2020",7,Statewide,Statewide,3918137,324,10.7,6.93,14.59,0,325,4.8,2.35,7.38,0,325,6.4,3.7,9.63,0,325,1.5,0,3.48,1,536,5.6,3.42,8.17,0,763,6.4,4.71,8.4,0,1299,6,4.55,7.7,0,235088,178275,301697,true,true
OR,"Oct 30 - Nov 13, 2020",7,Statewide,Statewide,4081943,80,4.1,0,9.23,1,611,1.9,0.57,3.59,0,749,2.1,1.03,3.3,0,317,1.2,0,3,1,760,2.7,0.88,4.99,0,997,1.9,0.82,3.07,0,1757,2.3,1.18,3.58,0,93885,48167,146134,true,true
PA,"Oct 26 -  Nov 9, 2020",7,Statewide,Statewide,12791181,210,6.4,3.15,10.14,0,488,9.2,6.37,12.35,0,396,4.4,2.41,6.63,0,459,1.4,0.46,2.51,0,673,5.7,3.82,7.68,0,879,6.8,4.89,9.38,0,1553,6.3,4.95,7.69,0,805844,633163,983642,true,false
PR,"Nov 2 - Nov 14, 2020",7,Statewide,Statewide,3386941,324,3,1.3,5.29,0,325,4.8,2.31,7.79,0,325,3,1.25,5.36,0,326,3.1,1.2,5.57,0,518,3.8,1.93,6.02,0,782,3.7,2.22,5.45,0,1300,3.8,2.59,5.17,0,128704,87722,175105,true,false
RI,"Nov 2 - Nov 13, 2020",7,Statewide,Statewide,1056611,91,3.4,0,7.9,1,325,3.7,1.53,6.09,0,347,3.7,1.61,5.94,0,350,2.5,0.93,4.54,0,465,4.3,2.02,6.85,0,648,2.6,1.3,4.17,0,1113,3.4,2.08,4.92,0,35925,21978,51985,true,true
SC,"Oct 27 - Nov 11, 2020",7,Statewide,Statewide,4955925,446,11.3,8.47,14.3,0,368,8,5.04,11.04,0,321,10.1,6.95,13.81,0,421,3.8,1.87,5.75,0,644,7.7,5.55,10.06,0,912,9.2,7.17,11.31,0,1556,8.4,6.94,9.99,0,416298,343941,495097,true,false
SD,"Oct 27 - Nov 10, 2020",7,Statewide,Statewide,864289,5,777,,,,55,777,,,,56,777,,,,36,777,,,,50,777,,,,102,9.8,3.66,17.04,0,152,8.8,3.94,15.36,0,76057,34053,132755,true,false
TN,"Oct 26 - Nov 10, 2020",7,Statewide,Statewide,6651089,309,13.4,9.48,17.34,0,327,12.4,8.96,16.46,0,348,9.7,6.09,13.35,0,299,3.3,1.45,5.48,0,533,11,8.18,14.07,0,750,10.3,7.85,12.59,0,1283,10.7,8.75,12.57,0,711667,581970,836042,true,false
TX,"Oct 29 - Nov 11, 2020",7,Statewide,Statewide,27885195,16,777,,,,257,16.5,12.11,21.45,0,220,8.1,3.8,14.14,0,282,8.8,4.22,16.75,0,456,17,11.62,25.47,0,319,14.7,8.84,24.99,0,775,15.9,11.55,23.68,0,4433746,3220740,6603214,true,false
UT,"Oct 25 -  Nov 9, 2020",7,Statewide,Statewide,3045350,32,777,,,,376,6.8,3.96,9.83,0,366,9.4,6.34,12.39,0,345,3.7,1.71,6.04,0,440,6.3,2.19,12.82,0,679,7.4,4.43,11.32,0,1119,6.9,4.22,10.79,0,210129,128514,328593,true,false
VA,"Oct 29 - Nov 11, 2020",7,Statewide,Statewide,8413774,19,777,,,,416,5.2,2.98,8.05,0,372,3.5,1.63,5.78,0,420,0.3,0,0.86,1,443,3.3,1.27,5.96,0,784,3.9,2,5.89,0,1227,3.6,2.07,5.6,0,302896,174165,471171,false,true
VT,"Nov 2 - Nov 13, 2020",7,Statewide,Statewide,624977,11,777,,,,326,0.4,0,1.17,1,144,0.4,0,1.41,1,124,0.8,0,2.54,1,180,0,0,2.03,2,425,0.9,0.08,1.92,0,605,0.4,0.04,0.98,0,2500,250,6125,false,true
WA,"Nov 1 - Nov 13, 2020",7,Statewide,Statewide,7294336,253,3.5,1.35,6.13,0,543,4,2.16,5.89,0,730,3.5,1.99,5.09,0,643,1.8,0.72,2.92,0,956,4.2,2.65,5.9,0,1213,2.7,1.54,3.97,0,2169,3.4,2.45,4.44,0,248007,178711,323869,true,false
WI,"Oct 26 - Nov 10, 2020",7,Statewide,Statewide,5778394,53,777,,,,438,18.5,14.15,23.45,0,361,10.2,6.76,14.08,0,244,7.2,3.1,12.27,0,453,16.3,11.44,22.09,0,643,14.3,10.56,18.59,0,1096,15.3,12.24,18.9,0,884094,707275,1092116,true,false
WV,"Oct 29 - Nov 15, 2020",7,Statewide,Statewide,1829054,20,777,,,,360,4.7,2.09,7.78,0,383,4.7,2.2,7.7,0,332,1.4,0.23,2.79,0,456,9,3.97,17.54,0,639,2,0.83,3.48,0,1095,5.5,3.03,9.35,0,100598,55420,171017,true,false
WY,"Oct 26 - Nov 10, 2020",7,Statewide,Statewide,581836,16,777,,,,144,5.2,1.46,10.06,0,111,4,1,8.02,0,131,7.2,2.76,12.52,0,130,2.4,0.22,5.98,1,272,7.3,3.64,12.13,0,402,4.8,2.36,7.62,0,27928,13731,44336,false,true
AK,"Nov 14 - Nov 28, 2020",8,Statewide,Statewide,738516,12,777,,,,271,6.7,3.68,10.18,0,183,7.1,3.72,11.36,0,155,3.9,1.11,7.87,0,236,4.1,1.22,7.72,0,385,9.1,5.59,12.95,0,621,6.5,4.28,9.14,0,48004,31608,67500,true,false
AL,"Nov 14 - Nov 24, 2020",8,Statewide,Statewide,4864680,347,11.5,7.89,15.51,0,307,10.5,6.89,14.37,0,350,8.2,5.36,10.99,0,316,3,1.16,5.05,0,504,8.1,5.13,11.25,0,816,9.9,7.58,12.17,0,1320,9,7.15,10.98,0,437821,347825,534142,true,false
AR,"Nov 9 - Nov 25, 2020",8,Statewide,Statewide,2990671,271,9.5,5.9,13.45,0,726,7.5,5.62,9.61,0,619,7.7,5.62,9.91,0,499,4.5,2.62,6.65,0,843,6.3,4.57,8.34,0,1272,8.7,6.9,10.57,0,2115,7.5,6.25,8.89,0,224300,186917,265871,true,false
AZ,"Nov 9 - Nov 25, 2020",8,Statewide,Statewide,6946685,127,16.4,9.69,23.96,0,683,12.8,10.2,15.63,0,729,7.2,5.35,9.14,0,762,5.4,3.93,7.11,0,929,12.8,9.78,15.94,0,1372,10,7.68,12.45,0,2301,11.4,9.47,13.63,0,791922,657851,946833,true,false
CA,"Nov 9 - Nov 20, 2020",8,Statewide,Statewide,39148760,312,10.7,7.21,14.24,0,334,8.6,5.47,11.71,0,324,5,2.69,7.45,0,315,4.5,2.36,7.12,0,556,8.5,5.82,11.62,0,729,7.2,5.17,9.32,0,1285,7.9,6.09,9.63,0,3092752,2384159,3770026,true,false
CO,"Nov 13 - Nov 27, 2020",8,Statewide,Statewide,5531141,319,9.6,5.13,15.91,0,337,8.7,4.43,14.21,0,330,3.1,1.43,5.33,0,330,3.4,1.48,5.59,0,589,8.6,4.17,14.05,0,727,5.6,3.82,7.69,0,1316,7.1,4.72,9.97,0,392711,261070,551455,true,false
CT,"Nov 16 - Nov 28, 2020",8,Statewide,Statewide,3581504,323,4.9,2.56,7.73,0,351,5,2.58,7.63,0,300,5.9,3.02,9.25,0,331,1.4,0.24,3.31,0,561,4.6,2.6,6.79,0,744,4.6,3,6.26,0,1305,4.6,3.28,5.98,0,164749,117473,214174,true,false
DC,"Nov 10 - Nov 23, 2020",8,Statewide,Statewide,684498,56,777,,,,617,13.1,10.64,15.87,0,192,9.1,4.68,13.66,0,647,7,4.95,9.22,0,579,12,8.54,15.6,0,933,10.8,8.4,13.46,0,1512,11.4,9.33,13.42,0,78033,63864,91860,true,false
DE,"Nov 10 - Nov 27, 2020",8,Statewide,Statewide,949495,81,12.4,5.51,20.24,0,409,8.4,5.78,11.32,0,372,5.1,3.08,7.62,0,155,5.3,1.85,9.33,0,361,8.1,4.67,12.16,0,656,8,5.75,10.7,0,1017,8.1,5.97,10.3,0,76909,56685,97798,true,false
FL,"Nov 9 - Nov 20, 2020",8,Statewide,Statewide,20598139,423,12.4,9.32,15.68,0,425,11,8.18,14.12,0,413,7.6,4.72,10.54,0,431,8.8,6.16,12.08,0,701,9.6,7.16,12.06,0,991,10.7,8.8,12.86,0,1692,10.2,8.66,11.82,0,2101010,1783799,2434700,true,false
GA,"Nov 15 - Nov 23, 2020",8,Statewide,Statewide,10297484,321,12.5,8.19,16.81,0,306,11.3,7.54,15.79,0,314,10.1,5.96,14.34,0,324,3.2,1.12,5.58,0,541,9.8,6.41,13.68,0,724,10.8,7.97,13.94,0,1265,10.3,8.09,12.58,0,1060641,833066,1295423,true,false
HI,"Nov 13 - Nov 25, 2020",8,Statewide,Statewide,1422029,27,777,,,,195,4.8,1.77,8.4,0,196,3.1,0.9,5.99,0,248,1,0,2.84,1,227,2.1,0.1,4.84,1,439,3.5,1.5,5.75,0,666,2.8,1.34,4.31,0,39817,19055,61289,false,true
IA,"Nov 13 - Nov 27, 2020",8,Statewide,Statewide,3132499,34,777,,,,469,17.3,13.56,20.62,0,293,16.3,12.19,20.87,0,184,3.6,1.05,6.69,0,496,11.3,8.67,13.87,0,484,18.1,11.69,24.73,0,980,14.7,11.02,18.56,0,460477,345201,581392,true,false
ID,"Nov 17 - Nov 27, 2020",8,Statewide,Statewide,1687809,7,777,,,,198,15.5,10.45,21.71,0,126,9,2.9,16.61,0,140,7.5,2.67,13.22,0,163,13.7,7.25,21.83,0,308,13,8.21,17.6,0,471,13.4,9.61,17.73,0,226166,162198,299249,true,false
IL,"Nov 14 - Nov 25, 2020",8,Statewide,Statewide,12821497,488,22.5,18.54,26.21,0,632,16.9,14.03,19.78,0,513,14.6,11.23,17.87,0,390,6.3,3.55,9.04,0,823,14.9,12.27,17.48,0,1200,17.4,15.22,19.84,0,2023,16.2,14.64,17.83,0,2077083,1877067,2286073,true,false
IN,"Nov 12 - Nov 25, 2020",8,Statewide,Statewide,6637426,15,777,,,,566,8,5.55,11.32,0,315,5.5,2.14,10.08,0,270,1.6,0.27,3.29,0,328,5.1,2.23,8.46,0,838,7.3,4.16,10,0,1166,6.2,3.79,8.63,0,411520,251558,572810,false,false
KS,"Nov 9 - Nov 28, 2020",8,Statewide,Statewide,2908776,252,11.8,7.32,16.73,0,348,9.7,5.98,13.81,0,331,4.7,2.06,7.59,0,345,3,1.05,5.3,0,548,8.1,5.18,11.29,0,728,8.4,5.75,11.2,0,1276,8.2,6.39,10.35,0,238520,185871,301058,true,false
KY,"Nov 9 - Nov 25, 2020",8,Statewide,Statewide,4440204,91,9.2,2.96,16.65,0,598,7.6,5.29,10.07,0,503,9.5,6.74,12.34,0,527,3.7,2.16,5.66,0,710,7.5,4.86,10.57,0,1009,7.9,5.68,10.66,0,1719,7.7,5.86,9.79,0,341896,260196,434696,true,false
LA,"Nov 12 - Nov 26, 2020",8,Statewide,Statewide,4663616,321,12.6,7.52,18.96,0,318,8.1,4.09,13.07,0,323,8,4.19,12.17,0,324,8.9,4.19,14.54,0,545,9.8,5.98,14.1,0,741,8.7,5.93,11.57,0,1286,9.3,6.92,11.79,0,433716,322722,549840,true,false
MA,"Nov 16 - Nov 28, 2020",8,Statewide,Statewide,6830193,132,5.9,1.92,10.66,0,409,3.5,1.58,5.63,0,375,5.2,2.73,7.85,0,370,4.8,2.43,7.75,0,564,5,3.11,7.27,0,722,4.1,2.38,5.76,0,1286,4.5,3.29,5.87,0,307359,224713,400932,true,false
MD,"Nov 12 - Nov 26, 2020",8,Statewide,Statewide,6003435,105,12.5,6.32,19.28,0,400,11.6,8.78,14.77,0,375,6.4,3.91,9.33,0,357,3.1,1.33,5,0,440,8.2,5.1,12.02,0,797,10.7,8.2,13.46,0,1237,9.5,7.51,11.43,0,570326,450858,686193,true,false
ME,"Nov 16 - Nov 27, 2020",8,Statewide,Statewide,1332813,24,777,,,,221,0.3,0,1.08,1,142,1,0,2.83,1,178,1.2,0,3.38,1,213,0.3,0,1.1,1,352,0.8,0,1.99,1,565,0.6,0.1,1.29,0,7997,1333,17193,false,true
MI,"Nov 9 - Nov 25, 2020",8,Statewide,Statewide,9957488,21,777,,,,721,9.4,7.11,11.86,0,696,8.4,6.07,10.66,0,469,5.2,3.34,7.37,0,713,6.4,4.54,8.9,0,1194,11.1,7.18,17.23,0,1907,8.8,6.47,12.1,0,876259,644249,1204856,true,false
MN,"Nov 12 - Nov 27, 2020",8,Statewide,Statewide,5527358,170,14.8,7.99,22.51,0,570,12.9,9.68,16.02,0,324,10.3,5.74,16.04,0,237,3.8,1.7,6.37,0,549,11.9,8.38,15.75,0,752,10.9,8.21,14.07,0,1301,11.4,9.23,13.83,0,630119,510175,764434,true,false
MO,"Nov 9 - Nov 25, 2020",8,Statewide,Statewide,6090062,132,13.2,5.23,21.95,0,634,10,7.16,13.15,0,793,12.7,8.55,17.31,0,441,4.3,2.58,6.1,0,841,9.7,6.8,12.86,0,1159,11,7.65,14.86,0,2000,10.3,8.14,12.86,0,627276,495731,783182,true,false
MS,"Nov 9 - Nov 24, 2020",8,Statewide,Statewide,2988762,257,15.6,10.93,20.58,0,553,14.8,11.7,18.17,0,324,13.7,9.55,17.95,0,316,7.3,4.08,10.79,0,560,12.1,9.1,15.14,0,890,15.1,12.56,17.7,0,1450,13.6,11.65,15.61,0,406472,348191,466546,true,false
MT,"Nov 11 - Nov 25, 2020",8,Statewide,Statewide,1041732,11,777,,,,216,10.7,6.38,15.33,0,148,9.1,3.97,15.25,0,111,5.7,0.9,11.46,0,174,8.3,3.59,13.29,0,312,9.9,6.02,13.99,0,486,9.1,6,12.5,0,94798,62504,130217,false,false
NC,"Nov 9 - Nov 23, 2020",8,Statewide,Statewide,10155624,380,10.5,7.33,14.08,0,270,10,6.16,13.93,0,341,6.3,3.48,9.54,0,628,3.8,2.23,5.6,0,646,9.1,6.26,12.14,0,973,7.8,5.49,10.23,0,1619,8.4,6.49,10.45,0,853072,659100,1061263,true,false
ND,"Nov 10 - Nov 24, 2020",8,Statewide,Statewide,752201,0,666,,,,13,777,,,,7,777,,,,21,777,,,,17,777,,,,24,777,,,,41,777,,,,,,,false,
NE,"Nov 13 - Nov 27, 2020",8,Statewide,Statewide,1904760,65,777,,,,577,16.6,13.35,20.38,0,400,11.6,8.04,15.38,0,220,9.7,5.19,14.87,0,685,14.1,10.94,17.53,0,577,18.6,12.75,24.1,0,1262,16.3,13.06,19.61,0,310476,248762,373523,true,false
NH,"Nov 16 - Nov 27, 2020",8,Statewide,Statewide,1343622,69,777,,,,350,2.5,0.65,4.68,0,463,1.7,0.55,3.4,0,420,0.8,0.13,1.79,0,534,1.7,0.42,3.25,0,768,1.5,0.5,2.5,0,1302,1.6,0.72,2.54,0,21498,9674,34128,false,false
NJ,"Nov 12 - Nov 26, 2020",8,Statewide,Statewide,8881845,275,21.9,16.18,27.47,0,421,15.5,12.03,19.28,0,391,13.4,9.77,16.49,0,396,6.4,3.91,9.12,0,555,13.1,10.25,16.3,0,928,16.9,13.99,19.8,0,1483,15.1,12.92,17.35,0,1341159,1147534,1541000,true,false
NM,"Nov 12 - Nov 29, 2020",8,Statewide,Statewide,2092434,115,10.6,5,17.6,0,368,10.3,6.93,14.33,0,381,6.8,3.98,10.09,0,391,4.6,2.74,6.95,0,541,5.4,3.24,8.35,0,714,12,8.88,15.69,0,1255,8.8,6.72,11.11,0,184134,140612,232469,true,false
NV,"Nov 9 - Nov 25, 2020",8,Statewide,Statewide,2922849,62,777,,,,657,12.5,9.94,15.31,0,550,7.3,4.97,9.78,0,566,5.3,3.27,7.38,0,754,13.2,8.36,18.64,0,1081,10.7,8.01,13.83,0,1835,12,9.18,14.98,0,350742,268318,437843,true,false
NY,"Nov 11 - Nov 28, 2020",8,Statewide,Statewide,19618453,298,6.5,3.62,9.8,0,296,9.8,6.26,13.68,0,333,11.7,8.26,15.71,0,272,8.5,5.04,12.08,0,536,8.3,5.56,11.19,0,663,10.1,7.52,13.1,0,1199,9.3,7.21,11.24,0,1824516,1414490,2205114,true,false
OH,"Nov 13 - Nov 25, 2020",8,Statewide,Statewide,11641879,83,10.7,4.22,18.61,0,421,16.6,13.08,20.22,0,451,13.2,9.87,16.62,0,386,5.7,3.47,8.07,0,629,17.1,13.47,21.04,0,712,8.7,5.92,11.63,0,1341,12.8,10.54,15.16,0,1490161,1227054,1764909,true,false
OK,"Nov 14 - Nov 17, 2020",8,Statewide,Statewide,3918137,112,8.5,3.27,15.32,0,320,4.8,2.47,7.77,0,323,7.7,4.67,10.98,0,529,6.4,4.12,8.79,0,542,6.4,3.81,9.54,0,742,6.5,4.24,9.42,0,1284,6.5,4.62,8.52,0,254679,181018,333825,true,false
OR,"Nov 16 - Nov 20, 2020",8,Statewide,Statewide,4081943,0,666,,,,299,4.1,1.67,7.09,0,0,666,,,,0,666,,,,99,5.3,1.04,10.86,1,200,2.9,0.47,5.9,0,299,4.1,1.67,7.09,0,167360,68168,289410,true,true
PA,"Nov 9 - Nov 27, 2020",8,Statewide,Statewide,12791181,215,12.2,7.87,16.62,0,1074,8.4,6.79,10.24,0,836,5.8,4.22,7.45,0,428,2.5,0.92,4.49,0,1072,7.9,5.98,10.08,0,1481,7.4,5.81,8.98,0,2553,7.6,6.36,8.83,0,972130,813519,1129461,true,false
PR,"Nov 16 - Nov 28, 2020",8,Statewide,Statewide,3386941,295,2.7,0.78,4.9,0,355,3.7,1.59,6.01,0,325,4.5,2.17,7.36,0,325,3,1.17,5.14,0,504,3.2,1.53,5.11,0,796,3.8,2.27,5.48,0,1300,3.5,2.33,4.8,0,118543,78916,162573,true,false
RI,"Nov 16 - Nov 27, 2020",8,Statewide,Statewide,1056611,72,777,,,,433,4.5,2.65,6.47,0,341,5.3,2.87,7.83,0,350,5.4,3.19,8.06,0,509,5,2.9,7.59,0,687,5.5,3.3,7.84,0,1196,5.3,3.82,6.85,0,56000,40363,72378,true,false
SC,"Nov 10 - Nov 23, 2020",8,Statewide,Statewide,4955925,326,13.9,10.44,17.77,0,492,12.1,9.07,15.25,0,515,7.2,4.96,9.7,0,377,6.4,3.93,8.93,0,638,8.9,6.42,11.39,0,1072,12.1,9.93,14.52,0,1710,10.6,8.89,12.37,0,525328,440582,613048,true,false
SD,"Nov 10 - Nov 25, 2020",8,Statewide,Statewide,864289,9,777,,,,84,15,3.68,29.13,0,81,8.8,3.29,16.39,0,37,777,,,,82,9.8,1.61,23.17,1,129,14.3,4.38,26.74,0,211,12,4.77,20.21,0,103715,41227,174673,true,true
TN,"Nov 9 - Nov 25, 2020",8,Statewide,Statewide,6651089,350,19.2,14.45,23.61,0,331,10.2,7.16,13.86,0,335,12.7,8.85,16.88,0,512,5.6,3.65,7.82,0,631,11.8,8.75,14.85,0,897,12.2,9.74,15.12,0,1528,12,10.29,13.81,0,798131,684397,918515,true,false
TX,"Nov 12 - Nov 25, 2020",8,Statewide,Statewide,27885195,23,777,,,,316,18.6,14.23,23.69,0,265,10.9,6.94,15.22,0,329,10.5,6.37,15.61,0,559,12.6,8.76,18.92,0,374,16.1,10.8,22.46,0,933,14.3,10.62,18.52,0,3987583,2961408,5164338,true,false
UT,"Nov 12 - Nov 25, 2020",8,Statewide,Statewide,3045350,12,777,,,,290,12.7,8.51,16.69,0,222,13.7,8.42,18.68,0,137,8.1,3.78,13.28,0,226,11.5,6.16,16.65,0,435,12.9,9.17,17.05,0,661,12.2,8.66,15.38,0,371533,263727,468375,true,false
VA,"Nov 12 - Nov 26, 2020",8,Statewide,Statewide,8413774,28,777,,,,468,7.5,4.75,10.17,0,437,2.9,1.27,4.74,0,411,0.9,0.14,2.06,0,457,3,1.02,5.1,0,887,6.1,3.87,9.29,0,1344,4.6,2.98,6.56,0,387034,250730,551944,true,false
VT,"Nov 16 - Nov 28, 2020",8,Statewide,Statewide,624977,13,777,,,,207,0.3,0,1.11,1,110,1.9,0,5.5,1,134,0.4,0,1.59,1,141,0.7,0,2.31,1,323,0.6,0,1.68,1,464,0.6,0,1.68,1,3750,0,10500,false,true
WA,"Nov 19 - Nov 23, 2020",8,Statewide,Statewide,7294336,0,666,,,,1,777,,,,296,3,1.01,5.41,0,0,666,,,,145,2.1,0,5.3,1,152,3.9,0.69,7.56,0,297,3,1.01,5.38,0,218830,73673,392435,false,true
WI,"Nov 9 - Nov 25, 2020",8,Statewide,Statewide,5778394,81,21.9,13.61,30.52,0,683,14.8,12.14,17.42,0,539,15.4,12.24,19.05,0,311,9.1,5.58,13.02,0,687,14.3,11.15,18.28,0,927,16.8,13.46,20.25,0,1614,15.6,13.39,18.13,0,901429,773727,1047623,true,false
WV,"Nov 16 - Nov 27, 2020",8,Statewide,Statewide,1829054,32,777,,,,325,3.8,1.69,6.13,0,268,1.9,0.47,3.81,0,279,2.5,0.58,4.69,0,410,3.6,1.12,6.99,0,494,3.5,1.4,6.51,0,904,3.6,1.82,5.78,0,65846,33289,105719,true,false
WY,"Nov 9 - Nov 25, 2020",8,Statewide,Statewide,581836,25,777,,,,198,8.3,4.56,13.62,0,159,6.6,2.67,11.56,0,136,5,1.99,9.02,0,171,10.7,2.25,21.93,0,347,7.5,4.52,11.08,0,518,9.1,4.29,14.94,0,52947,24961,86926,true,false
AK,"Nov 23 -  Dec 7, 2020",9,Statewide,Statewide,738516,9,777,,,,330,9.8,6.21,13.76,0,297,4.4,2.11,7.1,0,265,5.4,2.44,9.25,0,370,10.7,5.75,15.64,0,531,6.8,4,9.95,0,901,8.8,6.17,11.53,0,64989,45566,85151,true,false
AL,"Nov 23 -  Dec 8, 2020",9,Statewide,Statewide,4864680,208,15.5,10.71,20.53,0,389,13.6,10.11,17.09,0,347,7.9,5.02,10.87,0,395,6.5,3.89,9.5,0,578,11.9,8.88,15.16,0,761,11.5,8.99,14.27,0,1339,11.7,9.74,14.02,0,569168,473820,682028,true,false
AR,"Nov 25 -  Dec 9, 2020",9,Statewide,Statewide,2990671,179,13.6,8.88,18.92,0,371,11,7.87,14.46,0,516,5.4,3.41,7.63,0,375,2.5,0.97,4.27,0,594,8.4,5.5,11.35,0,847,9.9,7.18,12.81,0,1441,9.2,7.21,11.11,0,275142,215627,332264,true,false
AZ,"Nov 30 -  Dec 8, 2020",9,Statewide,Statewide,6946685,115,17.4,10.07,25.04,0,371,14.4,10.34,18.22,0,363,6.7,4.16,9.65,0,400,5.3,3.14,7.63,0,523,11.8,8.24,15.57,0,726,12.6,9.65,15.67,0,1249,12.2,9.85,14.69,0,847496,684248,1020468,true,false
CA,"Nov 23 -  Dec 3, 2020",9,Statewide,Statewide,39148760,320,7.7,4.58,10.92,0,329,11,7.61,14.76,0,313,9.1,5.97,12.45,0,323,3.3,1.32,5.43,0,543,9.6,6.69,12.61,0,742,8.2,6.09,10.24,0,1285,8.9,7.07,10.87,0,3484240,2767817,4255470,true,false
CO,"Nov 26 - Dec 11, 2020",9,Statewide,Statewide,5531141,276,15.6,11.12,19.95,0,380,9.4,6.43,12.22,0,330,6.6,4.2,9.88,0,330,6.1,3.86,8.97,0,614,9.6,7.19,12.04,0,702,10.1,7.65,12.47,0,1316,9.8,8,11.4,0,542052,442491,630550,true,false
CT,"Nov 30 - Dec 11, 2020",9,Statewide,Statewide,3581504,323,6.2,3.12,9.52,0,319,4.8,2.5,7.5,0,319,4.6,2.21,7.12,0,321,3.5,1.39,5.84,0,547,5.7,3.62,8.09,0,735,4.1,2.41,5.84,0,1282,4.9,3.49,6.45,0,175494,124994,231007,true,false
DC,"Nov 23 -  Dec 5, 2020",9,Statewide,Statewide,684498,109,11.7,5.44,17.99,0,460,16.1,12.66,19.24,0,847,10.9,8.66,13.4,0,586,5.4,3.42,7.34,0,823,11.5,8.26,14.92,0,1179,14.8,11.9,17.74,0,2002,13.2,10.78,15.31,0,90354,73789,104797,true,false
DE,"Nov 24 - Dec 10, 2020",9,Statewide,Statewide,949495,112,12.3,5.9,19.42,0,498,8.6,6.08,11.05,0,388,6.4,3.87,9.49,0,502,2,0.77,3.4,0,563,10,6.72,13.3,0,937,5.7,3.87,7.59,0,1500,7.8,5.91,9.81,0,74061,56115,93145,true,false
FL,"Nov 30 -  Dec 2, 2020",9,Statewide,Statewide,20598139,196,17.4,12.32,23.18,0,220,13,8.3,17.82,0,187,7.3,3.75,10.89,0,175,5.4,2.12,9.03,0,334,11.1,7.39,14.97,0,443,11.5,8.42,14.55,0,778,11.3,9,13.5,0,2327590,1853833,2780749,true,false
GA,"Nov 25 - Dec 10, 2020",9,Statewide,Statewide,10297484,322,21.2,16.28,26.66,0,321,16,11.53,20.83,0,327,11.6,7.72,15.72,0,326,4.9,2.58,7.53,0,523,14.2,10.43,18.51,0,773,15.7,12.41,19.15,0,1296,15,12.59,17.7,0,1544623,1296453,1822655,true,false
HI,"Nov 27 - Dec 12, 2020",9,Statewide,Statewide,1422029,38,777,,,,402,2.2,0.58,4.19,0,363,1.5,0.3,2.94,0,456,1.5,0.47,2.77,0,415,6.2,1.59,11.88,0,844,2.8,0.96,5.12,0,1259,4.5,2.04,7.24,0,63991,29009,102955,true,false
